Matrix Object
vehicle_type: Rail
value_type: Person Trips
time_period: AM_peak
purpose: OB_HBO
level: 4
zone_count: 120
matrix_sum: 1044.0
interzonal_sum: 1037.0
intrazonal_sum: 7.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_OB_HBO_Rail.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1014,22,597539,284128,Breckland 014,E02005516,9,outside,outside,False,1014,9.0,2.0,0.0
1015,23,585826,285759,Breckland 015,E02005517,9,outside,outside,False,1015,4.0,4.0,0.0
1016,24,587791,283588,Breckland 016,E02005518,9,outside,outside,False,1016,13.0,3.0,0.0
1017,25,584480,283022,Breckland 017,E02005519,9,outside,outside,False,1017,8.0,4.0,0.0
1018,26,618363,326863,Broadland 001,E02005520,13,outside,outside,True,1018,4.0,0.0,0.0
1019,27,610716,321553,Broadland 002,E02005521,13,outside,outside,True,1019,6.0,0.0,0.0
1020,28,625306,320263,Broadland 003,E02005522,14,outside,outside,True,1020,6.0,0.0,0.0
1021,29,619690,318749,Broadland 004,E02005523,13,outside,outside,True,1021,3.0,0.0,0.0
1022,30,623390,315202,Broadland 005,E02005524,14,outside,outside,True,1022,3.0,0.0,0.0
1023,31,615911,314230,Broadland 006,E02005525,13,outside,outside,True,1023,7.0,2.0,0.0
1024,32,618206,313913,Broadland 007,E02005526,13,outside,outside,True,1024,2.0,0.0,0.0
1025,33,629373,314134,Broadland 008,E02005527,14,outside,outside,True,1025,10.0,1.0,0.0
1026,34,623554,312619,Broadland 009,E02005528,14,inside,inside,True,1026,6.0,0.0,0.0
1027,35,620077,312145,Broadland 010,E02005529,13,inside,inside,True,1027,2.0,1.0,0.0
1028,36,621149,311920,Broadland 011,E02005530,13,inside,inside,True,1028,3.0,3.0,0.0
1029,37,625170,312679,Broadland 012,E02005531,14,inside,inside,True,1029,3.0,0.0,0.0
1030,38,625986,311747,Broadland 013,E02005532,14,inside,inside,True,1030,6.0,2.0,0.0
1031,39,635720,312415,Broadland 014,E02005533,14,outside,outside,True,1031,9.0,0.0,0.0
1032,40,626485,309865,Broadland 015,E02005534,14,inside,inside,True,1032,7.0,0.0,0.0
1033,41,627178,309109,Broadland 016,E02005535,14,outside,inside,True,1033,15.0,8.0,0.0
1034,42,635061,306298,Broadland 017,E02005536,14,outside,outside,True,1034,8.0,2.0,0.0
1035,43,642604,306812,Broadland 018,E02005537,14,outside,outside,True,1035,2.0,0.0,0.0
1036,44,648713,317534,Great Yarmouth 001,E02005538,7,outside,outside,False,1036,2.0,0.0,0.0
1037,45,644892,314015,Great Yarmouth 002,E02005539,7,outside,outside,False,1037,4.0,0.0,0.0
1038,46,651250,311760,Great Yarmouth 003,E02005540,7,outside,outside,False,1038,8.0,0.0,0.0
1039,47,652799,309688,Great Yarmouth 004,E02005541,7,outside,outside,False,1039,1.0,1.0,0.0
1040,48,650284,308151,Great Yarmouth 005,E02005542,7,outside,outside,False,1040,2.0,1.0,0.0
1041,49,652980,306021,Great Yarmouth 006,E02005543,7,outside,outside,False,1041,4.0,1.0,0.0
1042,50,651693,306612,Great Yarmouth 007,E02005544,7,outside,outside,False,1042,2.0,2.0,0.0
1043,51,650505,305618,Great Yarmouth 008,E02005545,7,outside,outside,False,1043,2.0,0.0,0.0
1044,52,652042,304597,Great Yarmouth 009,E02005546,7,outside,outside,False,1044,3.0,0.0,0.0
1045,53,652457,302774,Great Yarmouth 010,E02005547,7,outside,outside,False,1045,3.0,0.0,0.0
1046,54,651940,303126,Great Yarmouth 011,E02005548,7,outside,outside,False,1046,1.0,1.0,0.0
1047,55,647821,302416,Great Yarmouth 012,E02005549,7,outside,outside,False,1047,0.0,0.0,0.0
1048,56,651436,301705,Great Yarmouth 013,E02005550,7,outside,outside,False,1048,6.0,0.0,0.0
1049,57,570465,341482,Kings Lynn and West Norfolk 001,E02005551,5,outside,outside,False,1049,3.0,0.0,0.0
1050,58,580688,336370,Kings Lynn and West Norfolk 002,E02005552,5,outside,outside,False,1050,4.0,0.0,0.0
1051,59,570025,335026,Kings Lynn and West Norfolk 003,E02005553,5,outside,outside,False,1051,3.0,0.0,0.0
1052,60,572682,326324,Kings Lynn and West Norfolk 004,E02005554,5,outside,outside,False,1052,3.0,0.0,0.0
1053,61,563735,324937,Kings Lynn and West Norfolk 005,E02005555,5,outside,outside,False,1053,8.0,0.0,0.0
1054,62,564729,321846,Kings Lynn and West Norfolk 006,E02005556,5,outside,outside,False,1054,5.0,0.0,0.0
1055,63,561922,321750,Kings Lynn and West Norfolk 007,E02005557,5,outside,outside,False,1055,6.0,1.0,0.0
1056,64,556132,321469,Kings Lynn and West Norfolk 008,E02005558,5,outside,outside,False,1056,2.0,0.0,0.0
1057,65,563299,320193,Kings Lynn and West Norfolk 009,E02005559,5,outside,outside,False,1057,5.0,2.0,0.0
1058,66,564661,320442,Kings Lynn and West Norfolk 010,E02005560,5,outside,outside,False,1058,6.0,1.0,0.0
1059,67,561633,317831,Kings Lynn and West Norfolk 011,E02005561,5,outside,outside,False,1059,7.0,3.0,0.0
1060,68,573368,317955,Kings Lynn and West Norfolk 012,E02005562,5,outside,outside,False,1060,5.0,0.0,0.0
1061,69,550917,312485,Kings Lynn and West Norfolk 013,E02005563,5,outside,outside,False,1061,3.0,0.0,0.0
1062,70,566425,311599,Kings Lynn and West Norfolk 014,E02005564,5,outside,outside,False,1062,8.0,1.0,0.0
1063,71,557541,312565,Kings Lynn and West Norfolk 015,E02005565,5,outside,outside,False,1063,2.0,0.0,0.0
1064,72,553591,300835,Kings Lynn and West Norfolk 016,E02005566,5,outside,outside,False,1064,6.0,0.0,0.0
1065,73,561283,303253,Kings Lynn and West Norfolk 017,E02005567,5,outside,outside,False,1065,18.0,0.0,0.0
1066,74,564795,301112,Kings Lynn and West Norfolk 018,E02005568,5,outside,outside,False,1066,12.0,0.0,0.0
1067,75,569160,292552,Kings Lynn and West Norfolk 019,E02005569,5,outside,outside,False,1067,5.0,1.0,0.0
1068,76,615592,342767,North Norfolk 001,E02005570,6,outside,outside,False,1068,4.0,0.0,0.0
1069,77,597939,340705,North Norfolk 002,E02005571,6,outside,outside,False,1069,4.0,0.0,0.0
1070,78,621818,341439,North Norfolk 003,E02005572,6,outside,outside,False,1070,2.0,2.0,0.0
1071,79,608334,341412,North Norfolk 004,E02005573,6,outside,outside,False,1071,3.0,0.0,0.0
1072,80,622614,338597,North Norfolk 005,E02005574,6,outside,outside,False,1072,5.0,1.0,0.0
1073,81,615411,334871,North Norfolk 006,E02005575,6,outside,outside,False,1073,4.0,0.0,0.0
1074,82,629482,334125,North Norfolk 007,E02005576,6,outside,outside,False,1074,2.0,0.0,0.0
1075,83,601678,331682,North Norfolk 008,E02005577,6,outside,outside,False,1075,2.0,0.0,0.0
1076,84,590809,331494,North Norfolk 009,E02005578,6,outside,outside,False,1076,2.0,2.0,0.0
1077,85,628087,329936,North Norfolk 010,E02005579,6,outside,outside,False,1077,9.0,2.0,0.0
1078,86,592947,330792,North Norfolk 011,E02005580,6,outside,outside,False,1078,1.0,0.0,0.0
1079,87,630176,327066,North Norfolk 012,E02005581,6,outside,outside,False,1079,5.0,0.0,0.0
1080,88,639916,325857,North Norfolk 013,E02005582,6,outside,outside,False,1080,1.0,2.0,0.0
1081,89,637561,320196,North Norfolk 014,E02005583,6,outside,outside,False,1081,7.0,1.0,0.0
1082,90,622530,312336,Norwich 001,E02005584,15,inside,inside,True,1082,11.0,11.0,0.0
1083,91,621588,310431,Norwich 002,E02005585,15,inside,inside,True,1083,13.0,4.0,0.0
1084,92,623371,310192,Norwich 003,E02005586,15,inside,inside,True,1084,16.0,9.0,0.0
1085,93,625208,309908,Norwich 004,E02005587,15,inside,inside,True,1085,11.0,0.0,0.0
1086,94,618176,309206,Norwich 005,E02005588,16,inside,inside,True,1086,7.0,4.0,0.0
1087,95,620346,309492,Norwich 006,E02005589,16,inside,inside,True,1087,15.0,9.0,0.0
1088,96,622651,308965,Norwich 007,E02005590,16,inside,inside,True,1088,25.0,76.0,0.0
1089,97,621627,308335,Norwich 009,E02005592,16,inside,inside,True,1089,17.0,2.0,0.0
1090,98,619793,307934,Norwich 010,E02005593,16,inside,inside,True,1090,21.0,10.0,0.0
1091,99,622475,307519,Norwich 011,E02005594,16,inside,inside,True,1091,31.0,12.0,0.0
1092,100,620958,306433,Norwich 012,E02005595,16,inside,inside,True,1092,14.0,2.0,0.0
1093,101,623031,306264,Norwich 013,E02005596,16,inside,inside,True,1093,16.0,7.0,0.0
1094,102,617067,311478,South Norfolk 001,E02005597,10,outside,inside,True,1094,9.0,2.0,0.0
1095,103,614745,307501,South Norfolk 002,E02005598,10,outside,inside,True,1095,15.0,3.0,0.0
1096,104,615956,304810,South Norfolk 003,E02005599,10,outside,outside,True,1096,6.0,1.0,0.0
1097,105,605926,303457,South Norfolk 004,E02005600,10,outside,outside,True,1097,8.0,1.0,0.0
1098,106,610647,303767,South Norfolk 005,E02005601,10,outside,outside,True,1098,6.0,3.0,0.0
1099,107,627829,300965,South Norfolk 006,E02005602,12,outside,outside,True,1099,14.0,4.0,0.0
1100,108,611218,299466,South Norfolk 007,E02005603,10,outside,outside,True,1100,16.0,4.0,0.0
1101,109,633383,302263,South Norfolk 008,E02005604,12,outside,outside,True,1101,8.0,0.0,0.0
1102,110,620230,299441,South Norfolk 009,E02005605,11,outside,outside,True,1102,11.0,7.0,0.0
1103,111,642360,295991,South Norfolk 010,E02005606,12,outside,outside,True,1103,6.0,0.0,0.0
1104,112,615044,292954,South Norfolk 011,E02005607,11,outside,outside,True,1104,17.0,6.0,0.0
1105,113,627971,291422,South Norfolk 012,E02005608,12,outside,outside,True,1105,8.0,0.0,0.0
1106,114,622437,285846,South Norfolk 013,E02005609,11,outside,outside,True,1106,8.0,0.0,0.0
1107,115,614493,283644,South Norfolk 014,E02005610,11,outside,outside,True,1107,17.0,3.0,0.0
1108,116,611217,280524,South Norfolk 015,E02005611,11,outside,outside,True,1108,34.0,15.0,0.0
1109,117,650646,297503,Waveney 001,,3,outside,outside,False,1109,3.0,0.0,0.0
1110,118,624070,308050,Norwich 014,E02006907,16,inside,inside,True,1110,20.0,55.0,0.0
1111,119,624417,308899,Norwich 015,E02006908,15,inside,inside,True,1111,15.0,6.0,0.0
